Price,Area,rooms,type,City_District,Date
47000,33.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
34500,27.0,1,secondary,"Tashkent, Yunusabad district","June 24, 2023"
14500,13.0,1,secondary,"Tashkent, Yashnabad district","June 20, 2023"
52000,40.0,1,secondary,"Tashkent, Chilanzar district","June 24, 2023"
45000,42.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
21000,16.0,1,secondary,"Tashkent, Yashnabad district","June 19, 2023"
32500,21.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
38000,27.0,1,secondary,"Tashkent, Mirabad district","June 25, 2023"
41000,25.0,1,secondary,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
44500,38.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
21200,19.0,1,secondary,"Tashkent, Yakkasarai district","June 25, 2023"
41000,38.0,1,secondary,"Tashkent, Mirzo-Ulugbek district","June 24, 2023"
45500,30.0,1,secondary,"Tashkent, Chilanzar district","June 24, 2023"
55000,34.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
21000,12.0,1,secondary,"Tashkent, Yashnabad district","June 13, 2023"
17800,14.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
60000,42.61,1,secondary,"Tashkent, Yunusabad district","June 15, 2023"
43500,43.0,1,secondary,"Tashkent, Yunusabad district","June 20, 2023"
46000,38.0,1,secondary,"Tashkent, Yunusabad district","June 24, 2023"
39500,45.0,1,secondary,"Tashkent, Almazar district","June 24, 2023"
44000,33.0,1,secondary,"Tashkent, Chilanzar district","June 23, 2023"
42500,36.5,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
26000,30.0,1,secondary,"Tashkent, Mirabad district","June 19, 2023"
45000,44.0,1,secondary,"Tashkent, Almazar district","June 11, 2023"
41000,33.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
60000,33.0,1,secondary,"Tashkent, Uchtepinsky district","June 25, 2023"
60000,33.0,1,secondary,"Tashkent, Almazar district","June 25, 2023"
40000,44.0,1,secondary,"Tashkent, Yunusabad district","June 24, 2023"
20000,18.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
71891,46.0,1,secondary,"Tashkent, Yunusabad district","June 25, 2023"
43500,37.0,1,secondary,"Tashkent, Chilanzar district","June 17, 2023"
60000,33.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
28500,32.0,1,secondary,"Tashkent, Sergeli district","June 25, 2023"
25000,18.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
49000,42.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
22000,18.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
46000,26.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
45000,44.0,1,secondary,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
47000,38.0,1,secondary,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
23500,18.0,1,secondary,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
42000,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
56000,43.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
46500,45.0,1,secondary,"Tashkent, Yunusabad district","June 25, 2023"
44500,45.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
57000,42.0,1,secondary,"Tashkent, Yakkasarai district","June 25, 2023"
60000,50.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
55000,42.0,1,secondary,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
40000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
72000,45.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
44000,50.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
51500,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
42000,35.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
75000,42.0,1,secondary,"Tashkent, Yunusabad district","June 25, 2023"
53000,45.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
45000,35.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
45000,35.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
46000,36.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
46400,43.0,1,secondary,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
46300,33.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
48000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
43900,36.0,1,secondary,"Tashkent, Uchtepinsky district","June 25, 2023"
41000,37.0,1,secondary,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
52200,39.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
47000,38.0,1,secondary,"Tashkent, Yakkasarai district","June 25, 2023"
47000,44.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
40000,35.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
45500,34.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
44000,26.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
42000,31.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
45000,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
43000,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
50600,33.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
47000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
60000,35.0,1,secondary,"Tashkent, Mirabad district","June 25, 2023"
44500,40.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
47000,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
39000,36.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
41000,35.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
55000,35.0,1,secondary,"Tashkent, Mirabad district","June 25, 2023"
51200,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
44500,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
51000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
50500,38.0,1,secondary,"Tashkent, Yunusabad district","June 25, 2023"
36200,45.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
44000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
46000,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
20500,18.0,1,secondary,"Tashkent, Yashnabad district","June 25, 2023"
48000,32.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
41500,38.0,1,secondary,"Tashkent, Yunusabad district","June 25, 2023"
24000,18.0,1,secondary,"Tashkent, Mirabad district","June 25, 2023"
46000,42.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
44000,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
51000,28.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
46500,34.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
36700,30.0,1,secondary,"Tashkent, Chilanzar district","June 25, 2023"
